Programme title changes (taught students),"Titles of programmes on which students have already been accepted or are currently registered can only be changed if this is unavoidable. A change in programme title affects the validity of student visas for students outside the EEA.
The?Policy on programme title changes (PDF)?was updated in 2010-11 to reflect obligations under the introduction of the Points Based System of immigration control.
 "
Religious observance,"Our institutional timetable is set to accommodate religious observance where possible. Sometimes issues feel or become more complex at an individual school or service level.
What students need to do?
Students who, for religious reasons, are unable to carry out their university work on a Sabbath or a holy day must advise their school(s) immediately. ?
Where a student's religious commitments prevent them from taking exams on certain days during University assessment periods, they must also?give notice to the Assessment & Progress Team by completing?the?Notification of religious commitments form?by?the last Friday in October for January assessments and by the end of Week 4 of teaching in semester 2 for May/June assessments (see the timeline).
Where exemption is approved, it is the student＊s responsibility to ensure they have covered all work from classes that they have missed.
The University will make every effort to avoid arranging assessments on a Sabbath or holy day for those students who have informed the Assessment & Progress Team as required. The University, however, reserves the right to hold assessments?on such days if no alternative time is convenient.?
Further guidance
The Equality Policy Unit provides guidance for staff and students on flexibility on grounds of religion or belief?(PDF) to enable staff to respond in a way which is non-discriminatory. The document offers practical suggestions for handling such requests.
"
Risk assessment of fieldwork,"Fieldwork is an essential part of University teaching and research, enabling and inspiring many staff and students＊ academic and personal development.
Fieldwork includes any activity carried out for the purpose of research outside of the university. This could include archaeological digs, environmental surveys, or interviews. Fieldwork does not include placements but does include meetings and conferences in the UK and abroad.
People organising fieldwork need to use an effective fieldwork assessment process to minimise risk and ensure that as a University we fulfil our duty of care to protect staff, students and other affected people. 
Health and Safety Services set out what?the University requires of staff and students?in respect of fieldwork health and safety considerations along with guidance to help achieve this. 
 
 
Information provided includes:

University standard for risk management of fieldwork 
fieldwork assessment forms 
procedure for fieldwork in areas to which the Foreign & Commonwealth Office advise against travel 
guidance for Heads of School 
training required 
risk assessment forms 
other associated guidance 

International postgraduate researchers conducting fieldwork outside of the UK for one month or longer must complete a change of study location form through GRAD
 "
Special Cases Committee,"The Special Cases Committee takes decisions relating to student progression in cases which fall outside the normal institutional regulations.
The terms of reference of the Special Cases Committee (PDF), available from the Student cases webpage, explain the types of cases that the committee considers.?"
Student Staff Partnership Forums,"Student Staff Partnership Forums (SSPFs) are an important formal channel of communication and provide the opportunity for students and staff to work in partnership on matters relating to student education.?
They act as the primary means by which students are consulted on issues relating to the development of the School and, in particular, the School＊s approach to the curriculum and the delivery of learning and teaching.
As well as providing an important mechanism for students to raise concerns, SSPFs provide the opportunity for the discussion of matters of interest to students and staff and help ensure that student-informed views are fed into the development of student education.?

More information on the principles, terms of reference and?reporting requirements can be found here.
LUU guidance on the effective running of Student Staff Partnership Forums can be found?here.
A flow diagram showing how issues are raised and resolved via the Staff Student Partnership Forums can be found here.
A template agenda can be found here.

Click here for examples of successful Student Staff Partnership working.
"
Supernumerary modules,"Supernumerary modules are modules chosen by students for interest only and are taken as extra credits on top of the normal amount of credits for the year of study?(usually 120 credits?for an?undergraduate Programme Year or 180 for a postgraduate Programme Year).
Students are permitted to register for up to 20 credits of supernumerary modules each year (at the discretion of the parent school) and schools must inform the Exams and Progress Team of the choice at the beginning of the session and before the deadline for changing modules (see Timeline of Events for deadlines).?
Credits gained in supernumerary modules cannot be counted for progression?or classification purposes (e.g. a student passing 70 credits plus a 10-credit supernumerary module is not permitted to include the supernumerary credits to give them the 80 credits required to progress).
Where any supernumerary modules?are required to meet the learning outcomes of a specific programme, the rule as to whether these credits count for classification should be stated in the Programme Specification and made clear in corresponding material for students. Where students opt to take supernumerary modules outside of the Programme Specification these do not count towards classification.
Supernumerary modules will be recorded on Banner with a status of SN and marks gained for such modules will appear on official transcripts."
Timetabling and central space management,"The policy sets out the University's approach to constructing the teaching timetable, booking rooms and teaching space facilities and support.
The Timetabling and central space management policy (PDF) sets out who is responsible for which aspects of producing the teaching timetable, the order of priority when booking rooms and gives practical advice, for example, explaining what happens when a room booking has to be changed."
Timetabling Policies and Guidance Documents,"This section contains published University Timetabling policies and timelines. It also contains useful guidance documents for other?systems that are linked to the timetabling system.
Rearranging scheduled teaching
Teaching should only be rearranged where unavoidable. Taught Student Education Board has outlined how changes should be made and communicated to students.
If teaching does have to be cancelled and rearranged, the?Policy on rearranging scheduled teaching (PDF) outlines the correct way to do this and how any new arrangements should be communicated to students.
How to make Ad-Hoc recordings on campus
You can use the Record Now application installed on all podium PCs to make a manual recording, visit the IT website for guidance on how to use Record Now.
Help on using lecture capture
The IT website has a number of guides relating to the lecture capture system, see a list of lecture capture guides.
Timetabling Timeline
Please contact your School Timetabler for details. You can find their email address in the School Timetabler Contact List.
General Timetabling Timeline and Processes
Your School Timetabler is provided with a comprehensive timeline and deadline dates to build the timetable, please contact your School Timetabler for guidance,?you can find their email address in the School Timetabler Contact List.
?
?
"
Registration,"Registration is an annual?process for all students, and it is the School's responsibility to support the students with the process. This page lists downloadable resources for staff to use.?
This webpage was updated on 1st?September?2021?and is correct at the time of writing for students who are starting programmes in September 2021.?Please check this page regularly for updates,?as new information will be added when?it becomes available.??
All students must complete the online registration steps to ""register"" for each academic year. New students (those entering a new course via admissions)?also usually need to have their?identity checked in order to fully register*.?Registration is a separate process to module enrolment; students do not need to be registered to complete module enrolment.?
Identity checks for 2021-22
This year, the Identity Check takes place online. Rather than visiting the Great Hall and showing their documents, students submit their documents through an MS Form. Staff process those documents and update Banner accordingly. The form can be accessed through the link on students.leeds.ac.uk/registration?(identity check page).?As well as the identity documents, the MS Form instructs students to upload a passport style photograph. This image is then re-sized and will be uploaded to Banner for staff use. It will also be printed onto the student card.
International students (including EU/EEA/Swiss) can only complete the identity check when they have arrived in the UK. If students will not be arriving for the start of teaching i.e. studying remotely, they should?request?late arrival permission from their School?via the Late Arrival Request?form, which is available to students from the New Students webpage.

If late arrival is approved,?the student＊s campus flag in?the?SGASADD?More Information section?will be updated to ＆Off Campus 每 Approved＊?with?the?approved expected arrival date.?If a student has submitted several requests that have been approved, the most recent approved request will be taken.?This is an upload process that is being managed within the?Programmes & Assessment?(Operations)?team on a weekly basis, it is not automatic.
If rejected, the?School?are asked to email the student to explain the reason for the rejected late arrival request, and if appropriate, ask the student submit a different late arrival request.?No changes will be made to student＊s campus status if a request is rejected.??

Late expected arrival dates uploaded to?Banner allows a?student＊s identity check deadline to be delayed beyond the standard registration deadline (for their start month), to?30 days beyond their expected arrival date.
After completing the online identity check?form
UK & Ireland students: the student will receive an email asking them to book an appointment via EventBrite?to collect their student card at the relevant location.
International (including EU/EEA/Swiss): the student will receive a holding email. This will explain that the University is awaiting delivery of their BRP/sharecode for immigration permission (if not provided within the orignial submission). They will receive a second email asking them to book an appointment via EventBrite?to collect their student card and BRP (if applicable) at the relevant location after their immigration permission has been processed.
All of the emails are sent from no_reply_id_check@leeds.ac.uk. The emails will also include signposting information.
Student?card collection is not a mandatory step of registration.?
Further information is available from?students.leeds.ac.uk/registration.

Please note,?external students (ie they are resitting assessment(s) externally)?do not register online - you can download more information about external student status and access?here.?
*There is a small list of courses which are exempt from the requirement of identity checks; a full list of exempted programmes can be found within the ARGOS report for ""RE students with no ID Checks"". If a student on one of these courses has a UK government student loan they will regardless still need to complete the identity check so that the Funding team can confirm their registration to the Student Loans Company.

Registration contacts
The Registration Helpline deals with general and complex registration queries all year round. While the Registration?team work remotely,?the Registration Helpline telephone number will be used by the?Student Information Helpline, dedicated to dealing with calls and emails on a wide range of queries:
Email:?registration@leeds.ac.uk?or studentinfo@leeds.ac.uk

Telephone: +44 (0)113 343 7000 (outside UK and internal call transfers) or 0800 915 0402 (within UK) 每?both telephone numbers are answered by?Student Information Helpline staff
For clearly specific registration related queries, students can be directed to the below areas:

Registration processes and basic troubleshooting:?registration pages
Welcome information for all students: Welcome webpages
Username/password retrieval: use basic troubleshooting in staff registration guide download (below), then registration helpline (see above)
Online registration: use registration walkthrough download (below), then registration helpline (see above)
Fees: fees pages, UGfees@leeds.ac.uk, PGfees@leeds.ac.uk?or 0113 343 6700
Sponsor queries:?fees pages, sponsors@leeds.ac.uk?or 0113 343 6700
University bursaries/funds: University funding webpages, funding@leeds.ac.uk?or 0113 343 2007
Student Loan/NHS/other funding: external funding webpages, funding@leeds.ac.uk?
Accommodation: accommodation webpages, accommodation@adm.leeds.ac.uk or 0113 343?7777
Accommodation fees:?residencefees@leeds.ac.uk
International students?advice (immigration):?internationalstudents@leeds.ac.uk
International welcome:?internationalwelcome@leeds.ac.uk?
Incoming Study Abroad students: sao@adm.leeds.ac.uk?
International Foundation Year: intfyear@leeds.ac.uk?
Doctoral College Operations: rp_student@adm.leeds.ac.uk?
Taught?admissions (central):?taught admissions staff guidance, enquiriesadmissions@leeds.ac.uk

Registration downloads

Registration Staff Guide
Registration Online Steps Walkthrough
Registration Timeline September-start
Registration Deadlines Year-Round 202122?
Registration Timeline Schools Example Contact emails
Registration Reinstatement Form


New student welcome pages and guides

New student welcome pages?(replaces physical and PDF welcome guides)
UK (postgraduate) Prepare for Postgrad guide?(Minerva resource)?
International student arrival?and orientation pages


If you find you still have questions after reading this page and the resources above, please contact our shared student records inbox on?studentrecords@adm.leeds.ac.uk.
"
Module Enrolment,"It is the responsibility of the parent school to ensure that students enrol for their modules online and that all module and programme data is up to date and accurate.
Most students enrol upon any optional and discovery modules that will make up their programme of study?via?the module enrolment?webpages, which are?held within?Student Services. While it's open, students can use the system whenever they wish and revise their choices where necessary. The web pages incorporate?direct links to module and personal timetables, the module and programme catalogues and a filtration system for the enrolment on foreign language modules.
If students need guidance at any stage of their enrolment, they are encouraged to contact their parent school or relevant teaching school(s).
If a student wants to change their choice of module after the?module enrolment?system has closed, they must submit their request for approval by completing the?Change of Module?online form. The student＊s request will then be received and reviewed by their parent school. The University allows students to change modules for up to four weeks after teaching starts, however, some schools only allow changes for a shorter period.?
Study abroad and exchange students cannot use the module enrolment system to apply for modules or make changes to their programme of study. Their module enrolment is managed by the Study Abroad Office and Study Abroad coordinators within each academic school or department. For further information on this process, students should visit the Exchange and Study Abroad webpages.
School responsibilities relating to module enrolment
Updating module and programme information
Before the online system is opened to students, it is important that the relevant curricular data in both Banner and Module and Programme Catalogues is up to date, accurate and identical. Curriculum?data?held within the catalogues feeds directly into the online enrolment system, meaning errors can affect student＊s enrolment experience and?prevent them from selecting their choices.
Online enrolment communication and?pre-enrolment checks
The second stage of the online enrolment process is to inform students how and when to access the online enrolment system. Central Services will co-ordinate generic communications to be sent out to all students, however it is the school＊s responsibility to provide any school-specific targeted enrolment information to students.
There are also certain data checks that schools can make to ensure that the correct compulsory module data is on a student's record before the system is accessible to the student.
Monitoring and approving student choices
The third stage of the enrolment process is monitoring that students have enrolled online and approving their module choices. It is the parent school's responsibility to check their students complete their module enrolment and that they comply with the rules for their programme of study.
Further information
More detailed information can be found in the Module Enrolment guide for staff?together with further guidance to help schools prepare for the module enrolment exercise.
"
Attendance and engagement,"Monitoring?engagement is recognised as an important element in supporting both student retention and performance.
Regular and appropriate attendance and engagement is a University requirement, as stipulated in the Curricular Ordinances and Regulations. Many schools have effective methods in place for monitoring unauthorised absence and all schools are supported in monitoring students'?engagement in an auditable way.
Taught students
The Programme Support Functional Management Team has developed a new template Standard Operating Procedure for Attendance Monitoring (SOPAM) for the 2020-21 session. Detailed guidance information for staff (including engagement monitoring background, reporting, pathways, and escalation points for no and low engagement) can be accessed via this new template. Note: The template will be shared at Faculty-level by your local Programme Support Functional Manager in the first instance. For taught students, failure to attend and/or absence without permission can result in serious consequences for the student through the Unsatisfactory Work, Attendance and Engagement Procedure (UWAEP). Further guidance for staff (including templates and forms) can be accessed through the Student Cases Team (SCT) OneDrive.
Register Guidance for Academic/Teaching Staff
Online Teaching Sessions
Academic staff are not required to take attendance for their on-line teaching sessions for the purposes of attendance/engagement monitoring, but they may want to access the data to analyse student behaviour on their specific modules. Teaching staff can access guidance on how to take an online class register for their online teaching, by visiting the Digital Practice Virtual Classrooms webpage.
Face-to-Face Teaching Sessions
It is important that teaching staff take an electronic register of their face-to-face on-campus teaching sessions, as this information will be used for the following: Track and Trace purposes.
For Engagement Monitoring of students who attend hybrid online and face-to-face teaching. SES teams will access this information as part of the weekly reporting they will be using for student interventions.
For guidance on inputting a register into Faculty Services for a small face-to-face teaching session on-campus where a verbal roll call is required, please?use the ＆How-to Input a F2F Register into Faculty Services - Quick Guide＊.
For larger teaching sessions where a verbal roll call is not feasible, we recommend you utilise Top Hat software for you to obtain an electronic attendance register (guidance is available on the Digital Practice webpage, Minerva support pages and in the IT Knowledge Base). For further guidance, please speak to your Faculty Digital Education Academic Lead or Programme Support Functional Manager.
International students
The University responds to the requirements of the Home Office's points-based system, which means it is required to report international students who fail to fully register when expected or are absent for a prolonged period without authorisation.
Research students (Doctoral College)
The attendance of all research students should be monitored at certain agreed stages in the research degree candidature, with absences being recorded. The monitored attendance sessions should include all formal (in-person or remote) supervisory meetings as well as other appropriate events. More information is available the PGR Progress and Monitoring webpage.
More information
For more detail about any area of student attendance / engagement, please consult the relevant policies above.
"
Attendance code of practice (taught students),"Students are expected to attend all timetabled sessions. The University is clear about its expectations of students and in the information that schools provide to students to enable them to attend regularly.
University code of practice
The sessions organised as part of a programme of study - lectures, group work, laboratory work, tutorials, seminars and practical classes - are a crucial part of enabling students to achieve the maximum benefit from their time at the University.

Attendance at designated online and remote sessions is compulsory irrespective of whether or not a module forms a core, optional or elective part of a programme of study.
Schools will have procedures for students to report absence / monitor engagement?and make clear the procedures for students to apply for leave of absence in exceptional circumstances.
Schools will have a clear process for monitoring?student engagement?and addressing any patterns of non-attendance or low attendance?at an early stage. Where non-attendance is a potential problem a ""warning system"" will be in place for the student. If the problem continues the Unsatisfactory Work, Attendance and Engagement Procedure will be used.
Co-curricular activities and paid employment must normally be fitted around formal timetable commitments. Wednesday afternoons, that is from 1.00pm, will normally be kept free for co-curricular activities. On occasions where a student is involved in a University supported activity, eg competing in a national sporting event or representing the University in a sporting event, which involves leaving a timetabled session before 1.00pm they must notify the tutor in advance in order to discuss how the session commitments might be met in another way. It is the responsibility of the student to find out what work has been missed and to complete any tasks set.
Schools will indicate normal teaching hours making special arrangements to meet the needs of students undertaking religious observance.
Schools will make clear the preparation students are expected to undertake before each timetabled session and whether supporting material is needed for use in class.
Sessions will start promptly at five minutes past the hour and end promptly at five minutes to the hour, unless otherwise agreed with students for a particular session/module.?
Timetabled sessions will only be cancelled in exceptional and unavoidable circumstances, eg staff illness, and alternative arrangements made to minimise disruption for students.?
Staff will all be made aware of the school policy on non-engagement to prevent variability in the treatment of students.
The school policy on?engagement will be considered annually by the Student:Staff committee.
The Dean of Faculty is responsible for ensuring compliance by schools with this code of practice.

?
?
"
Registration and tuition payment,"All students must complete online registration. Step 6 of online registration displays the different payment options available, you can find some help with common queries using information on this page.
This information is specifically to help you support students to make fee payment arrangements and register with the University. For general information about online registration, please refer to the?Programmes and Assessment?registration page.
If you are seeking information about miscellaneous research fees for?visiting research students, please read the advice document on the Visitors - Research Students page for staff.
Before registration
Students should know how they are going to pay their tuition fees before they register for their programme.
 Sponsored students? 
If a student has a sponsor they should email a sponsor letter to the Fees office for processing before they can complete registration. Guidance for staff regarding sponsored students is available on our SES sponsored students page. 
Scholarships?
If you are providing a student with a scholarship please refer to the guidance for completing?Form 21s on our?tuition fee scholarships and awards page. Early notification of their?award?will enable the student to budget correctly and may aid international students applying for their visa.
Student Finance loans?
Home rated/EU undergraduate or taught postgraduate students?intending to take a student loan should apply for their support from Student Finance in advance of the start of term. Guidance for students?regarding student loans is available from the Funding team.
International Taught Postgraduate Deposits?
International students should ensure they have funding available and may be required to pay a tuition deposit (if they are taught postgraduate or studying a content based pre-sessional programme). Information for students about deposits can be found on the corporate?pages regarding masters fees and costs. Student Fees do not handle the deposit process, queries regarding taught postgraduate deposits should be sent to admissions.?
Returners from temporary leave or suspension
If you are aware of an?undergraduate or?taught postgraduate?student returning from temporary leave you should refer to our page for staff called Returners and reduced fees.
Research postgraduate?students returning from suspension will be charged the full fee for the academic year when they register, even if they are only registering for the remaining months. The?suspended months will then be added for free at the end of their study.?If a student requires a pro-rata calculation during their standard period of study they must contact Student fees by email UGfees@leeds.ac.uk??or?PGfees@leeds.ac.uk?call 0113 343 6700. If you require more information for RP returners please visit the?suspensions and extensions of study page.
Online registration
On step 6 of online registration a student can check their account balance, make payments, complete an instalment plan and view sponsor details.
If you have a specific case you wish to discuss, or if a student thinks their registration will be delayed?past the registration deadline?please Student fees by email UGfees@leeds.ac.uk??or?PGfees@leeds.ac.uk?call 0113 343 6700.
Overseas students 
Self-funded students?must make?full payment or?pay 50% and set up an?instalment plan arranging payment of the remaining balance. Overseas students are no longer?required to set up a UK bank account as part of this process. Students can?still provide UK bank account details?when they have them, otherwise they must make manual payment for their second instalment by the due date.
Home/EU students
Undergraduates need to have a Student Support Number (SSN) showing (proving they have applied for a loan at some point) to register. If they do not have this they will be asked to make full payment, to?complete an instalment plan or have a provide a sponsor letter.
Taught Postgraduates students who are self-funded?must make an initial payment of 50% of their fee and to?set up an instalment plan?arranging second payment in February by Direct Debit from a UK bank account or a confirmed sponsor letter. Students with a PG student?loan (PGL) can pay in?three instalments, payable in line with their loan payment dates, no up-front payment required. PGL students will be withdrawn if their first payment defaults and is not brought up to date.
Research Postgraduates students who are self-funded?must make an initial payment of 50% of their fee and to?set up an instalment plan?arranging second payment 5 months after their start date by Direct Debit from a UK bank account or a confirmed sponsor letter.?Overtime (writing up) fees must be paid in full and cannot be split into instalments."
Change of module,"Students can submit a request to change modules after the module enrolment system closes by using an online form.?
The University allows students to change modules for up to four weeks after teaching starts. However, some schools only allow changes for a shorter period so be careful when advising students about enrolment. Change of module deadlines are from the second week of teaching but vary by school. Some teaching schools require consultation when a student wishes to enrol on or drop one of their modules.?Please refer to this list of school requirements, deadlines and contact details.?
Once online module enrolment has closed - dates are given in the enrolment guide - students will need to access the online change of module form from the For Students website.
Full details of the new process are detailed in the Operational Guidance.
The Change of Module form closes at the end of week 4 of teaching in the relevant semester.
If a student wishes to change modules after the week 4?deadline has passed, the proposed change must have approval from the Head of School before the change will be allowed.? Confirmation of approval must then be forwarded to the Assessment & Progress Team.? Late module changes after week 4 of teaching are subject to a ㏒50 late fee.
With Head of School approval students can change modules?up until the end of week 8 of teaching.? After week 8 students are not permitted to change modules and are?expected to complete the assessment for any modules they are enrolled on, and are considered to have missed too much teaching to enrol on any new modules that are taught in that semester.?
After week 8 of teaching and?with permission from the school?students can replace modules, either taking a new module in the next semester or the next academic year.? The module they are replacing will remain on the record and the mark achieved will be recorded on the transcript.? The replaced module will be considered the second and final attempt at the module and will be for a capped module mark.? Where a student is permitted to replace a module confirmation of approval must?be sent to the Assessment & Progress Team.?
"
Change of programme ,"Students do not have an automatic entitlement to change programme, but if places are available and the student meets entry criteria they may be permitted to move to a new programme.
A student enquiring about a potential change of programme will be required to complete this Change of Programme Initial Enquiry Form in the first instance. ?The proposed new Parent School will receive an email notification of the enquiry, which they will consider according to local criteria.
If the student is a Tier 4 international student AND the change would result in a change of programme duration, the Tier 4 Team (pbs@leeds.ac.uk) must be consulted before the change is approved.? It is essential that immigration restrictions are checked and that the student receives immigration advice before a change of programme is approved.? If approved, this will then enable students to request their new CAS and make their new Tier 4 application without delay.?
Tier 4 international students who will be undertaking a work placement or study abroad year can apply for their new Tier 4 leave (visa) before or after their work placement/year abroad as long as this is done before their current leave expires. For further information regarding the process, please see our work placements and study abroad visa page.
Once a change of programme request is approved, the proposed new Parent School will ask the student to complete a full Change of Programme Formal Submission Form and will update the student record in Banner on receipt of the completed form.
Full details of the new process are detailed in the Operational Guidance.
For more information about students changing programme, contact your local Programme Support Manager.?
?
"
